PatientKontext;Patientidentifikator;Nachname;Vorname;Geburtsname;Geschlecht;Geburtsdatum;Wohnort;PLZ;PatientVerstorben;Todeszeitpunkt;Informationsquelle;LetzterLebendZeitpunkt;IKVersicherung;Versichertennummer
260123451_Airolo;P_0000000;Schulzen_25;Grete;Schulzen_25;w;1981-12-01;Ort_879;87956;nein;;P21;2020-11-02 17:00:00;BKK_800;8001000000
260123451_Airolo;P_0000001;Meyerson_11;Hans;Meyerson_11;m;1964-10-01;Ort_637;63769;nein;;P21;2020-01-11 17:00:00;AOK_600;6001000001
260123451_Airolo;P_0000002;Müllers_15;Hans;Müllers_15;m;1977-12-01;Ort_839;83960;nein;;P21;2020-08-23 17:00:00;BKK_800;8001000002
260123451_Airolo;P_0000003;Schulzen_12;Hans;Schulzen_12;m;2017-12-01;Ort_837;83767;nein;;P21;2020-11-21 17:00:00;BKK_800;8001000003
260123451_Airolo;P_0000004;Schulzen_22;Grete;Meyerson_22;w;1944-10-01;Ort_637;63768;nein;;P21;2020-08-03 17:00:00;AOK_600;6001000004
260123451_Airolo;P_0000005;Meyerson_12;Grete;Meyerson_12;w;1979-10-16;Ort_637;63769;nein;;P21;2020-11-19 17:00:00;AOK_600;6001000005
260123451_Airolo;P_0000006;Schmitts_17;Grete;Schmitts_17;w;1956-04-16;Ort_376;37653;nein;;P21;2020-01-14 17:00:00;AOK_300;3001000006
260123451_Airolo;P_0000007;Schmitts_17;Hans;Schmitts_17;m;1992-12-16;Ort_335;85353;nein;;P21;2020-06-07 17:00:00;AOK_300;3001000007
260123451_Airolo;P_0000008;Schulzen_22;Hans;Schulzen_22;m;1951-10-16;Ort_637;63766;nein;;P21;2020-10-27 17:00:00;AOK_600;6001000008
260123451_Airolo;P_0000009;Schulzen_86;Grete;Meyerson_86;w;1952-07-16;Ort_437;43768;nein;;P21;2020-07-28 17:00:00;BAR_400;4001000009
260123451_Airolo;P_0000010;Schulzen_17;Hans;Schulzen_17;m;2007-01-01;Ort_237;23766;nein;;P21;2020-01-14 17:00:00;AOK_100;1001000010
260123451_Airolo;P_0000011;Müllers_62;Hans;Schmitts_62;m;1971-10-01;Ort_637;63762;nein;;P21;2020-07-11 17:00:00;AOK_600;6001000011
260123451_Airolo;P_0000012;Schmitts_19;Grete;Schmitts_19;w;2012-12-01;Ort_878;87854;nein;;P21;2020-10-10 17:00:00;BKK_800;8001000012
260123451_Airolo;P_0000013;Müllers_64;Hans;Schmitts_64;m;1999-04-01;Ort_038;13862;nein;;P21;2020-08-29 17:00:00;TKK_900;9001000013
260123451_Airolo;P_0000014;Schulzen_62;Grete;Schmitts_62;w;1944-12-01;Ort_851;85168;nein;;P21;2020-05-16 17:00:00;BKK_800;8001000014
260123451_Airolo;P_0000015;Schmitts_10;Grete;Schmitts_10;w;1983-01-16;Ort_237;23764;nein;;P21;2020-07-30 17:00:00;AOK_100;1001000015
260123451_Airolo;P_0000016;Schmitts_26;Hans;Schmitts_26;m;1961-04-16;Ort_038;13864;nein;;P21;2020-08-18 17:00:00;TKK_900;9001000016
260123451_Airolo;P_0000017;Schmitts_31;Hans;Schulzen_31;m;1946-01-16;Ort_237;23765;nein;;P21;2020-12-28 17:00:00;AOK_100;1001000017
260123451_Airolo;P_0000018;Schmitts_18;Grete;Schmitts_18;w;1941-10-16;Ort_637;63764;nein;;P21;2020-03-28 17:00:00;AOK_600;6001000018
260123451_Airolo;P_0000019;Schmitts_73;Hans;Schmitts_73;m;1940-07-16;Ort_437;43763;nein;;P21;2020-03-03 17:00:00;BAR_400;4001000019
260123451_Airolo;P_0000020;Schmitts_11;Grete;Schmitts_11;w;1948-01-01;Ort_237;23764;nein;;P21;2020-10-25 17:00:00;AOK_100;1001000020
260123451_Airolo;P_0000021;Schmitts_31;Hans;Schulzen_31;m;1982-12-01;Ort_879;87955;nein;;P21;2020-08-13 17:00:00;BKK_800;8001000021
260123451_Airolo;P_0000022;Schulzen_21;Grete;Meyerson_21;w;1940-01-01;Ort_237;23768;nein;;P21;2020-07-09 17:00:00;AOK_100;1001000022
260123451_Airolo;P_0000023;Müllers_91;Hans;Müllers_91;m;1947-10-01;Ort_637;63760;nein;;P21;2020-11-26 17:00:00;AOK_600;6001000023
260123451_Airolo;P_0000024;Schulzen_11;Hans;Schulzen_11;m;2011-12-01;Ort_837;83767;nein;;P21;2020-12-04 17:00:00;BKK_800;8001000024
